timestamp,elapsed_time,linear_acc_x,linear_acc_y,linear_acc_z,angular_vel_x,angular_vel_y,angular_vel_z,orientation_x,orientation_y,orientation_z,orientation_w
288.5,2.4705777168273926,-0.01632745137414235,-0.004633727918129763,9.808590855990996,-0.00020905685836805505,0.0001409461817450636,-0.00024827661003419104,3.2554721062838993e-16,1.640899256658771e-10,-2.1024232347032905e-18,1.0
288.51,2.4709463119506836,-0.006683195227638643,-0.030920243573189593,9.80571157739276,-9.05552542242167e-05,-4.021454782862481e-05,-0.00024192883431206386,3.1118592329256676e-16,1.6408998788487648e-10,-2.0956138739470585e-18,1.0
288.52,2.471214532852173,0.00594345340174284,-0.008252471384804163,9.816255896513912,-0.00013097052383916755,3.6331330387139286e-05,3.812450599036409e-05,2.9686697646207045e-16,1.640900500729917e-10,-2.0899633826163384e-18,1.0
288.53,2.471431016921997,-0.018853462972086683,0.011556399787211222,9.779681956353324,-0.00026968566016654516,3.474485315903245e-05,0.0001551170071224542,2.8252855913962653e-16,1.6409011229524324e-10,-2.079588540310775e-18,1.0
288.54,2.4716267585754395,-0.004434588911835666,-0.0018611770371986134,9.811337192143615,0.0003396027016814473,0.00020373789648585086,-7.277023850226482e-05,2.6819156823001734e-16,1.6409017449318655e-10,-2.071054432571366e-18,1.0
288.55,2.471889019012451,0.015849094774198776,0.01245692298567465,9.787510393144462,-4.901426956302159e-05,6.766043900355065e-05,0.0001691240866398059,2.5384400302284164e-16,1.6409023669957705e-10,-2.066565329150146e-18,1.0
288.56,2.472168445587158,-0.01084423442201007,-0.014891447929065348,9.822255290651231,-0.00011429641636518185,-5.357498357114007e-05,-0.00014424552741103838,-4.2843755490994804e-16,1.64088400044848e-10,-2.0622785643723324e-18,1.0
288.57,2.4723658561706543,-0.008260592980135338,0.006632803502396547,9.805452191360558,0.00031755065843184696,0.00021661278515520952,-5.577994192523813e-05,-4.284381308632981e-16,1.6408846226281092e-10,-2.058801798539048e-18,1.0
288.58,2.47255539894104,-0.014703883176887755,-0.012600204950883844,9.780094228690894,-0.00025581831153524974,-9.528181403657218e-05,-0.0002994565478834566,-4.2844160268790206e-16,1.640885244831061e-10,-2.0524920713932575e-18,1.0
288.59,2.472740411758423,-0.0024848039673692345,-0.01596006021042063,9.821212698326692,-5.705721526408841e-06,-0.00019840125977287884,-0.0002520602769677762,-4.284477721718627e-16,1.6408858669010985e-10,-2.0424970432491166e-18,1.0
288.6,2.4802346229553223,0.026565618150872588,0.011865518089543602,9.80320322662057,-0.00044921641257753654,0.00012645641076506684,-7.813266970252601e-05,-4.2842395842860953e-16,1.6408864890031113e-10,-2.0382829686602846e-18,1.0
